材料类型,原材料/基体,中间体/填料系,配方特征,关键性能指标
导热硅脂,二甲基硅油,碳纳米管/石墨烯/六方氮化硼,多组分协同填充,热导率1.144 W/(m·K)，低迁移
,长链烷基/含氟改性硅油,氧化铝+氮化硼,支链结构改性,热导率2.51 W/(m·K)，抗渗油
,低黏度二甲基硅油复配物,表面处理氧化铝（多粒径）,触变型配方,热导率>3 W/(m·K)，老化后热阻增幅<5%
导热灌封胶α,ω-二羟基聚二甲基硅氧烷,Al2O3+Mg(OH)2,双组分缩合型,热导率0.826 W/(m·K)，UL94 V-0级
,乙烯基硅油,球形氧化铝（多粒径复配）,加成型,热导率1.2 W/(m·K)，抗沉降
,改性硅油,氮氧化铝+空心玻璃微珠,低密度配方,密度<1.5 g/cm³，UL94 V-0级
导热硅凝胶,乙烯基硅油,Al2O3（多形貌复配）,物理缠结网络,热导率3 W/(m·K)，渗油量<0.3%
,多支链聚硅氧烷(B-PDMS),纳米ZnO,空间级抗迁移,热真空质量损失率0.26%
导热垫片,乙烯基硅油,石墨烯/氧化铝复合,动混工艺,热导率5 W/(m·K)，邵氏00硬度50
,端乙烯基PDMS,鳞片石墨（硅烷改性）+微米复合填料体系,抗撕裂工艺,热导率>10 W/(m·K)，分解温度↑30℃
